epoch,train_loss,train_kl_loss,train_ce_loss,train_char_acc,train_sequence_acc,val_loss,val_kl_loss,val_ce_loss,val_char_acc,val_sequence_acc
20,0.004183936921890563,0.004223467911742773,0.0002703651015556474,0.9999323631054722,0.9985809326171875,0.0036607246402127203,0.0036962559206585865,0.00014312503333968607,0.9999524904415011,0.9989013671875
21,0.004172292530483901,0.004211710365325416,0.00026992314311691246,0.9999327166588046,0.9985885620117188,0.0036500482055998873,0.0036854781556030503,0.0001424804893517262,0.9999524904415011,0.9989013671875
22,0.004160668525173605,0.004199975784104026,0.00026924612825940386,0.9999330579885282,0.9985885620117188,0.0036388928583619418,0.0036742185257025994,0.00014164734024291192,0.9999550813809037,0.99896240234375
23,0.00414904649824166,0.004188244538454455,0.00026843661333320057,0.9999327211407945,0.9985809326171875,0.003627329155278858,0.0036625478769565234,0.00014067155851194002,0.9999550813809037,0.99896240234375
24,0.004137265855661099,0.004176355406798393,0.00026739630451011465,0.9999337730696425,0.9986038208007812,0.0036162318265269278,0.0036513468839984853,0.00013983892643665286,0.9999550813809037,0.99896240234375
25,0.004125966951733062,0.004164951515122084,0.0002664906288085689,0.9999344620737247,0.9986190795898438,0.0036056295084563317,0.0036406450199137907,0.00013908973073739617,0.9999550813809037,0.99896240234375
26,0.00411489231601081,0.004153773980306141,0.00026560447946533117,0.9999351387959905,0.9986343383789062,0.003596848831875832,0.0036317770136520267,0.0001389556221980115,0.9999550813809037,0.99896240234375
27,0.004104046175370968,0.004142827475106969,0.00026469388140348826,0.9999347843113355,0.998626708984375,0.0035877911086572567,0.0036226306147000287,0.00013867677614598506,0.9999550813809037,0.99896240234375
28,0.0040934321159511455,0.004132115661377611,0.00026375734771555415,0.9999347858829424,0.998626708984375,0.0035792500730167376,0.00361400470501394,0.0001385379125053987,0.9999550813809037,0.99896240234375
29,0.004083292737732336,0.004121881738910815,0.0002629777908182973,0.9999340880895033,0.9986038208007812,0.003571170902432641,0.0036058441364730243,0.0001385178846859958,0.9999550813809037,0.99896240234375
30,0.004073625605087727,0.004112124480570856,0.0002622331198969263,0.9999337541521527,0.99859619140625,0.0035624389529402833,0.0035970265798823675,0.00013826090467006225,0.9999550813809037,0.99896240234375
31,0.004064226934815451,0.004102638830545402,0.0002614460777019545,0.9999330746941268,0.9985809326171875,0.0035534006619855063,0.0035879010538337752,0.00013785990497439116,0.9999550813809037,0.99896240234375
32,0.004055441010223149,0.00409376869015432,0.00026099631250087185,0.9999330929131247,0.9985809326171875,0.0035443964079604484,0.003578809979444486,0.00013744899094803031,0.9999550813809037,0.99896240234375
33,0.004047118735343247,0.004085364991169627,0.0002607355117039134,0.9999348052078858,0.9986114501953125,0.0035355401050765067,0.003569869586499408,0.00013691834762852295,0.9999576956033707,0.9990234375
