epoch,train_loss,train_kl_loss,train_ce_loss,train_char_acc,train_sequence_acc,val_loss,val_kl_loss,val_ce_loss,val_char_acc,val_sequence_acc
17,1.088520018674899,1.0961745667736977,0.3307188620092347,0.8681125849834643,0.08551025390625,1.1040220642462373,1.111747259274125,0.3392267692834139,0.8653018590994179,0.0657958984375
18,1.0512864018091932,1.0586692846845835,0.3203800708288327,0.8731984014157206,0.09558868408203125,1.068576032295823,1.0759959467686713,0.3340033588465303,0.8700033542700112,0.07537841796875
19,1.0161730935797095,1.0233010420342907,0.3105053672916256,0.8777543259202503,0.10785675048828125,1.0180212520062923,1.0251336209475994,0.3138953307643533,0.8769596819765866,0.0858154296875
20,0.9881015577120706,0.995020441012457,0.3031312095117755,0.881698704615701,0.11818695068359375,0.984787117689848,0.9916723566129804,0.3031476456671953,0.8816227810457349,0.09088134765625
21,0.9635181161575019,0.9702570186927915,0.2963657793297898,0.8850971741485409,0.12853240966796875,0.9784559779800475,0.985308310482651,0.30007413239218295,0.8827606057748199,0.0970458984375
22,0.9393336753710173,0.945897035766393,0.2895601682976121,0.8883719439036213,0.13878631591796875,0.9702017456293106,0.9768821187317371,0.30884403991512954,0.8839135365560651,0.1090087890625
23,0.9160284021054395,0.9224220588803291,0.28305556245322805,0.8914330011466518,0.14897918701171875,0.9249551054090261,0.9314484028145671,0.28211810044012964,0.8899378725327551,0.1221923828125
24,0.8945801017107442,0.9008178589283489,0.2770412246318301,0.8943633959279396,0.15848541259765625,0.9286028342321515,0.9350028145126998,0.29500403767451644,0.8895796881988645,0.10992431640625
25,0.8780654252041131,0.8841795378248207,0.2727673411282012,0.8965878344606608,0.16748809814453125,0.915943905711174,0.9222141443751752,0.29518918483518064,0.8918840466067195,0.134033203125
26,0.8618458322016522,0.8678401789511554,0.26840472826734185,0.8987740274169482,0.175567626953125,0.9161179675720632,0.9223497798666358,0.2991677417885512,0.8917779726907611,0.11346435546875
27,0.844003040343523,0.8498716195463203,0.263012889699894,0.9010994557174854,0.18537139892578125,0.8596915076486766,0.8657238436862826,0.2624891682062298,0.8982925345189869,0.144775390625
28,0.8256280583445914,0.8313692742376588,0.2572468785219826,0.9034521006979048,0.19419097900390625,0.8255814537405968,0.8313027815893292,0.25916905130725354,0.9033369100652635,0.16156005859375
29,0.7985665227170102,0.8041153511730954,0.24923171538102906,0.9069478828459978,0.2087249755859375,0.7820623614825308,0.7875192840583622,0.24182640109211206,0.9088341747410595,0.19134521484375
30,0.8028167895972729,0.808370947604999,0.25295433358405717,0.9065423196880147,0.20845794677734375,0.9792783935554326,0.9856434403918684,0.3491379446350038,0.8854739000089467,0.08197021484375
31,0.7696049168007448,0.7749428506940603,0.24114874239603523,0.9109010263928212,0.22707366943359375,0.7887186077423394,0.7941202241927385,0.2539578799623996,0.9089564164169133,0.1917724609375
32,0.752741692471318,0.7579570555826649,0.2364200135343708,0.9131037761690095,0.23749542236328125,0.7559512886218727,0.7611998096108437,0.2363466137321666,0.9133154014125466,0.21734619140625
33,0.7421821320313029,0.7473120332579128,0.23432125293766148,0.9145025218022056,0.2472381591796875,0.740354937966913,0.7454928983934224,0.23169613792560995,0.9151931623928249,0.232666015625
34,0.7254589907824993,0.7304805215098895,0.22832675601239316,0.9166904144221917,0.25730133056640625,0.8349258173257113,0.8405265621840954,0.28045113617554307,0.9021552321501076,0.15142822265625
35,0.7098367885919288,0.714746072597336,0.22381703869905323,0.9187142312293872,0.26599884033203125,0.7466209908016026,0.7516656676307321,0.24719730752985924,0.9155473662540317,0.25384521484375
